PhraseID,PL
QID152_Choice2,"W dużej mierze niezależnie, z okazjonalnymi wspólnymi celami różnych kanałów."
QID152_Choice3,Wspólnie w różnych kanałach (np. wszystkich kanałach internetowych).
QID152_Choice4,"Wspólnie we wszystkich internetowych i nieinternetowych kanałach, z nawiązaniem do działalności całej organizacji."
QID150_QuestionText,"Czy w Twojej organizacji pracuje dedykowany zespół pomiarowy, który wspiera działania marketingu internetowego?"
QID150_Choice1,Nie.
QID150_Choice2,"Tak, ale realizuje też inne zadania."
QID150_Choice3,"Tak, mamy zespół, który zajmuje się tylko pomiarami."
QID149_QuestionText,"Czy w Twojej organizacji pracuje specjalista ds. danych, który wspiera działania marketingu internetowego?"
QID149_Choice1,Nie.
QID149_Choice2,"Tak, ale realizuje też inne zadania."
QID149_Choice3,"Tak, mamy takiego specjalistę."
QID151_QuestionText,"Czy w Twojej organizacji pracuje specjalista ds. kanałów (np. wyszukiwania, społecznościowego, automatycznego), który wspiera działania marketingu internetowego?"
QID151_Choice1,Nie.
QID151_Choice2,"Tak, ale realizuje też inne zadania."
QID151_Choice3,"Tak, mamy takiego specjalistę."
QID183_QuestionText,"<div class=""dmb-survey-banner""><div class=""dmb-survey-banner__logo""><svg width=""68px"" height=""22px"" viewBox=""0 0 68 22"" xmlns=""http://www.w3.org/2000/svg""><g fill=""none"" fill-rule=""evenodd""><path d=""M8.53 16.814C3.895 16.814 0 13.042 0 8.407 0 3.773 3.896 0 8.53 0c2.563 0 4.388 1.005 5.762 2.317l-1.62 1.62c-.984-.923-2.317-1.64-4.143-1.64-3.382 0-6.027 2.727-6.027 6.11 0 3.383 2.645 6.11 6.027 6.11 2.195 0 3.445-.881 4.245-1.681.656-.656 1.087-1.6 1.25-2.891H8.53V7.648h7.73c.083.41.124.903.124 1.435 0 1.723-.472 3.856-1.989 5.373-1.476 1.538-3.363 2.358-5.865 2.358z"" fill=""#4285F4""></path><path d=""M26.004 11.4c0-1.947-1.39-3.28-3-3.28s-3 1.333-3 3.28c0 1.928 1.39 3.281 3 3.281s3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413s-5.335-2.297-5.335-5.413c0-3.138 2.396-5.413 5.335-5.413 2.94 0 5.335 2.275 5.335 5.413"" fill=""#EA4335""></path><path d=""M37.964 11.4c0-1.947-1.389-3.28-3-3.28-1.61 0-3 1.333-3 3.28 0 1.928 1.39 3.281 3 3.281 1.611 0 3-1.353 3-3.28m2.335 0c0 3.116-2.396 5.413-5.335 5.413-2.94 0-5.335-2.297-5.335-5.413 0-3.138 2.395-5.413 5.335-5.413s5.335 2.275 5.335 5.413"" fill=""#FBBC05""></path><path d=""M49.869 11.421c0-1.906-1.272-3.302-2.891-3.302-1.64 0-3.014 1.396-3.014 3.302 0 1.887 1.374 3.26 3.014 3.26 1.62 0 2.89-1.373 2.89-3.26zm2.091-5.106v9.72c0 3.998-2.358 5.639-5.146 5.639-2.625 0-4.203-1.764-4.798-3.2l2.07-.86c.37.88 1.272 1.927 2.728 1.927 1.783 0 2.891-1.107 2.891-3.178v-.78h-.083c-.533.657-1.558 1.23-2.849 1.23-2.707 0-5.187-2.357-5.187-5.392 0-3.055 2.48-5.434 5.187-5.434 1.291 0 2.316.575 2.85 1.21h.082v-.882h2.255z"" fill=""#4285F4""></path><path fill=""#34A853"" d=""M53.75 16.486h2.379V.574h-2.38z""></path><path d=""M59.8 11.237l4.839-2.01c-.268-.676-1.067-1.148-2.01-1.148-1.21 0-2.89 1.066-2.83 3.158m5.68 1.948l1.845 1.23c-.594.882-2.03 2.399-4.51 2.399-3.075 0-5.297-2.379-5.297-5.413 0-3.22 2.241-5.414 5.03-5.414 2.809 0 4.183 2.235 4.634 3.445l.245.615-7.238 2.994c.555 1.086 1.415 1.64 2.626 1.64 1.209 0 2.05-.594 2.665-1.496"" fill=""#EA4335""></path></g></svg></div><div class=""dmb-survey-banner__title"">${e://Field/company_name} <br>➘➘➘Ocena dojrzałości cyfrowej➘➘➘</div></div>"
QID117_QuestionText,"<h2 class=""dmb-dimension-header h-c-headline h-c-headline--two""><img class=""dmb-dimension-header__icon dmb-u-m-b-s"" src=""${e://Field/static_url}/img/${e://Field/tenant}/dimensions/access.svg"">➘➘➘Dostęp➘➘➘</h2>➘➘➘➘Które z poniższych stwierdzeń najlepiej opisuje sposób zakupu mediów cyfrowych w Twojej organizacji?"
QID117_Choice1,Kupujemy głównie bezpośrednio od wydawców (rezerwacja) lub od sieci reklamowych.
QID117_Choice2,"Kupujemy głównie automatycznie, wykorzystując otwarte aukcje i automatyzację bezpośrednią. Optymalizujemy te zakupy osobno dla każdego kanału."
QID117_Choice3,"Kupujemy głównie automatycznie, wykorzystując otwarte aukcje i automatyzację bezpośrednią. Optymalizujemy te zakupy w kanałach internetowych."
QID117_Choice4,"Kupujemy głównie automatycznie, wykorzystując różne rodzaje transakcji (np. otwarte i prywatne aukcje, umowy preferencyjne i gwarantowane). Optymalizujemy zakupy mediów w kanałach internetowych. Niektóre media niecyfrowe są kupowane automatycznie."
QID118_QuestionText,Jak zróżnicowana jest strategia marketingowa dotycząca kampanii displayowych i kampanii wideo w Twojej organizacji?
QID118_Choice1,Kupujemy głównie reklamy displayowe i wideo wyświetlane na komputerach.
QID118_Choice2,Kupujemy reklamy displayowe i wideo wyświetlane na komputerach i w witrynach mobilnych. Przestrzegamy strategii dotyczącej odbiorców dla każdego typu kampanii w ramach danego kanału lub formatu.
QID118_Choice3,"Kupujemy reklamy displayowe i wideo wyświetlane na komputerach oraz w witrynach i aplikacjach mobilnych, jako media natywne i nienatywne. Stosujemy strategie dotyczące odbiorców i strategie kierowania w niektórych kanałach i formatach."
QID118_Choice4,"Kupujemy we wszystkich odpowiednich kanałach i formatach, na wszystkie urządzenia. Korzystamy m.in. z telewizji cyfrowej i cyfrowych formatów zewnętrznych. Stosujemy kompleksową strategię dostosowaną do odbiorców we wszystkich kanałach."
QID161_QuestionText,Jakie zasady dotyczące bezpieczeństwa marki stosuje Twoja organizacja w przypadku kupowania mediów cyfrowych?
QID161_Choice1,Korzystamy z zabezpieczeń dostępnych w domyślnych ustawieniach platformy.
QID161_Choice2,"Używamy domyślnych ustawień platformy i oceniamy bezpieczeństwo marki w naszych raportach, by dodawać poszczególne witryny do białej lub czarnej listy bądź usuwać je z tych list."
QID161_Choice3,Korzystamy z dedykowanego rozwiązania do zapewniania bezpieczeństwa marki w naszych najważniejszych kanałach i monitorujemy raporty w celu aktualizacji filtrów kategorii.
QID161_Choice4,"Korzystamy z dedykowanego rozwiązania do zapewniania bezpieczeństwa marki we wszystkich kanałach, monitorujemy raporty, aktualizujemy filtry kategorii i generujemy statystyki, by ulepszać nasze rozwiązanie zapewniające bezpieczeństwo marki."
QID120_QuestionText,W jaki sposób Twoja organizacja zapewnia wystarczającą widoczność w przypadku zakupów reklam displayowych i wideo?
QID120_Choice1,Nie korzystamy z pomiaru widoczności.
QID120_Choice2,Mierzymy widoczność w raportach generowanych po zakończeniu kampanii.
QID120_Choice3,Podejmujemy decyzje o zakupie mediów na podstawie danych o widoczności (np. przesuwamy budżet).
QID120_Choice4,Aktywnie wykorzystujemy dane o widoczności do podejmowania decyzji o zakupach na platformach automatycznych.
QID162_QuestionText,W jaki sposób Twoja organizacja zapewnia jakość w przypadku zakupów reklam displayowych i wideo?
QID162_Choice1,"Jest to dla nas bez znaczenia (albo jest znaczące w niewielkim stopniu), ponieważ kupujemy media głównie na stronach, które znamy i którym ufamy (np. z rezerwacją)."
QID162_Choice2,"Wiemy, że ads.txt publikuje listy autoryzowanych sprzedawców i monitorujemy potencjalne oszustwa w naszych raportach, gdy dowiemy się o problemie."
QID162_Choice3,Regularnie monitorujemy raporty o oszustwach i optymalizujemy zakupy mediów (np. usuwając poszczególne witryny lub sprzedawców z naszych zagregowanych zasobów).
QID162_Choice4,Aktywnie monitorujemy i optymalizujemy zakupy mediów. Aktywnie współpracujemy z wydawcami w zakresie zapobiegania oszustwom.
QID116_QuestionText,Jak Twoja organizacja podchodzi do ograniczania liczby wyświetleń?
QID116_Choice1,Zazwyczaj ustawiamy losową liczbę lub w ogóle nie stosujemy ograniczenia liczby wyświetleń.
QID116_Choice2,Ustawiamy ograniczenia liczby wyświetleń na podstawie naszych własnych raportów dotyczących ścieżki wiodącej do konwersji.
QID116_Choice3,"Ustawiamy ograniczenia liczby wyświetleń w oparciu o wyniki naszych własnych kampanii. Przeprowadzamy testy, by znaleźć optymalną równowagę między częstotliwością wyświetlania i zasięgiem przy wszystkich zakupach mediów."
QID116_Choice4,"Ustawiamy ograniczenia liczby wyświetleń w oparciu o wyniki naszych własnych kampanii. Skonsolidowaliśmy prawie wszystkie zakupy mediów i aktywnie zarządzamy częstotliwością wyświetleń w tych zakupach mediów, by osiągnąć maksymalny zasięg i maksymalną wydajność."
QID119_QuestionText,Jak zróżnicowana jest strategia marketingowa dotycząca kampanii w sieci wyszukiwania w Twojej organizacji?
QID119_Choice1,Reklamujemy w oparciu o słowa kluczowe związane z naszą marką i najważniejszymi produktami. Opieramy się głównie na standardowych reklamach w wyszukiwarce.
QID119_Choice2,"Reklamujemy w oparciu o słowa kluczowe związane z naszą marką, wszystkimi naszymi produktami i kategoriami produktów. Używamy głównie standardowych reklam w wyszukiwarce i zaczynamy korzystać ze specjalistycznych formatów (np. reklam produktowych lub lokalnych)."
QID119_Choice3,"Reklamujemy słowa kluczowe związane z naszą marką, wszystkimi naszymi produktami i kategoriami produktów oraz innymi odpowiednimi hasłami. Używamy standardowych reklam w wyszukiwarce i specjalistycznych formatów (np. reklam produktowych lub lokalnych)."
QID119_Choice4,"Reklamujemy obszerny zestaw słów kluczowych obejmujący wszystkie istotne hasła, wykorzystując wszystkie dostępne formaty reklam w wyszukiwarce (np. reklamy standardowe, produktowe, lokalne), wszystkie odpowiednie platformy i typy urządzeń. Korzystamy z automatycznego doboru słów kluczowych, jeśli jest dostępny (np. dynamiczne reklamy w wyszukiwarce)."
QID121_QuestionText,W jaki sposób Twoja organizacja zapewnia jakość reklam w wyszukiwarce?
QID121_Choice1,Opieramy się głównie na domyślnych metodach platform (np. wyłączanie kombinacji słów kluczowych o niskiej skuteczności).
QID121_Choice2,Tworzymy listy wykluczających słów kluczowych na podstawie sprawdzonych metod branżowych i niepotwierdzonych źródeł.
QID121_Choice3,Tworzymy listy wykluczających słów kluczowych na podstawie raportów na temat wyszukiwanych haseł z poprzednich kampanii.
QID121_Choice4,"Aktywnie badamy potencjalne wykluczające słowa kluczowe, monitorujemy skuteczność i udostępniamy listy słów kluczowych we wszystkich kampaniach."
